country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime
China, 1/23/2020,643.0,95.0,95.0,18.0,1.0,0.027993779160186624,0.010526315789473684,2020-01-23
Colombia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Congo (Brazzaville), 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Congo (Kinshasa), 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Costa Rica, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Cote d'Ivoire, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Croatia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Cuba, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Cyprus, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Czechia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Denmark, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Diamond Princess, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Djibouti, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Dominica, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Dominican Republic, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Ecuador, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Egypt, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
El Salvador, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Equatorial Guinea, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Eritrea, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Estonia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Eswatini, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Ethiopia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Fiji, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Finland, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
France, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Gabon, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Gambia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Georgia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Germany, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Ghana, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Greece, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
